iter	RMSE
0	3702.67723
1	3407.300195
2	3134.312351
3	2880.403873
4	2656.470775
5	2454.957669
6	2267.250784
7	2094.617603
8	1944.345542
9	1806.812179
10	1682.034399
11	1570.96123
12	1472.757385
13	1378.904079
14	1296.99893
15	1221.216907
16	1155.077661
17	1097.39251
18	1044.541789
19	997.1011355
20	954.9734312
21	915.947937
22	882.9740226
23	854.0183762
24	827.055191
25	804.3154875
26	783.6368042
27	764.6587445
28	747.6035644
29	733.7363519
30	721.470587
31	709.6580452
32	698.9570116
33	690.706933
34	682.1630673
35	674.4615623
36	667.6869926
37	661.1999095
38	655.7465421
39	650.8757782
40	646.6787376
41	642.6131392
42	638.8447758
43	635.7005475
44	632.600991
45	629.7728443
46	627.2948885
47	624.9599911
48	622.7920381
49	620.7501649
50	619.1772749
51	616.7137609
52	614.9716939
53	613.5703271
54	612.1761012
55	611.0186742
56	609.6356427
57	608.4003644
58	607.015267
59	606.0954302
60	605.2086357
61	604.1761124
62	603.3173584
63	602.5125731
64	601.8847057
65	601.01971
66	600.4445683
67	599.6852379
68	598.9423379
69	598.3827336
70	597.8818951
71	597.4727958
72	596.8155043
73	596.3798647
74	595.7301364
75	595.169679
76	594.8733551
77	594.1724888
78	593.5062515
79	592.8931536
80	592.5711849
81	592.2675484
82	591.7946706
83	591.3941569
84	591.0960718
85	590.4316184
86	590.1397411
87	589.6604122
88	589.261467
89	588.9990316
90	588.7787894
91	588.4009009
92	588.2148132
93	588.0176274
94	587.811084
95	587.569742
96	587.4163833
97	587.0630806
98	586.8995598
99	586.53669
100	586.0566112
101	585.8580275
102	585.7487904
103	585.5867551
104	585.3848833
105	585.1884819
106	584.847183
107	584.5549437
108	584.3964953
109	584.2564637
110	584.1260535
111	583.989579
112	583.7997244
113	583.5657274
114	583.3568136
115	583.0266514
116	582.8894137
117	582.7433052
118	582.6511831
119	582.4222265
120	582.2933739
121	582.1861043
122	581.9232416
123	581.7691632
124	581.5160769
125	581.364661
126	581.169951
127	581.0502009
128	580.9329984
129	580.6853164
130	580.4697656
131	580.2677979
132	580.1502556
133	579.850877
134	579.7428163
135	579.6768705
136	579.572276
137	579.4177264
138	579.3195991
139	579.2024425
140	579.0484989
141	578.9056204
142	578.7146564
143	578.5276803
144	578.3232869
145	578.1441286
146	578.0457268
147	577.9240376
148	577.7772438
149	577.6668772
150	577.5169356
151	577.3373154
152	577.2702937
153	577.1637574
154	577.0154931
155	576.9402457
156	576.7944773
157	576.6344632
158	576.4509359
159	576.3121766
160	576.1641927
161	576.0382789
162	575.9296623
163	575.8127931
164	575.635385
165	575.506962
166	575.3834465
167	575.277532
168	575.1755287
169	575.0221563
170	574.9252309
171	574.7708272
172	574.6878191
173	574.5298088
174	574.4248399
175	574.3399993
176	574.2781129
177	574.1934196
178	574.0836535
179	573.9765045
180	573.8777016
181	573.7799219
182	573.6011064
183	573.4278327
184	573.2786391
185	573.2124865
186	573.1506309
187	573.0654723
188	572.9538043
189	572.8192608
190	572.7457831
191	572.6635144
192	572.5968282
193	572.4990112
194	572.3813793
195	572.3393087
196	572.2203195
197	572.1324736
198	572.0471046
199	571.9350771
200	571.8912328
201	571.7865942
202	571.7281988
203	571.6354755
204	571.5099916
205	571.4764553
206	571.3542005
207	571.2119743
208	571.1541182
209	571.0631837
210	570.987914
211	570.9137762
212	570.8015747
213	570.7225039
214	570.6196187
215	570.5838933
216	570.5104378
217	570.3975932
218	570.2213656
219	570.1085113
220	570.0534625
221	570.0225272
222	569.9534113
223	569.8314951
224	569.6715278
225	569.5313931
226	569.4477318
227	569.362331
228	569.2604008
229	569.2156928
230	569.1394964
231	569.0726315
232	568.9480971
233	568.8495139
234	568.7346823
235	568.5944387
236	568.4489344
237	568.308695
238	568.2019093
239	568.063182
240	567.9740135
241	567.8451223
242	567.7211731
243	567.6432767
244	567.5798316
245	567.5242714
246	567.377107
247	567.278318
248	567.222479
249	567.1129316
250	567.0459297
251	566.9429642
252	566.886787
253	566.7900446
254	566.6868006
255	566.5655272
256	566.4903403
257	566.3964461
258	566.3727738
259	566.3293886
260	566.1870643
261	566.0609042
262	565.9517328
263	565.9011715
264	565.7857538
265	565.6717307
266	565.5999415
267	565.5149406
268	565.4735073
269	565.3730257
270	565.2863695
271	565.2264215
272	565.1086881
273	565.0443901
274	564.9826948
275	564.8747051
276	564.8581828
277	564.7964853
278	564.6449347
279	564.5798166
280	564.565375
281	564.5219661
282	564.4475005
283	564.2977712
284	564.2047673
285	564.1351003
286	564.03311
287	564.0188473
288	563.9391915
289	563.8494991
290	563.8173777
291	563.79049
292	563.7221802
293	563.6738201
294	563.6187827
295	563.5499838
296	563.4290675
297	563.3795838
298	563.285606
299	563.1860529
300	563.1528686
301	563.0069399
302	562.8919228
303	562.8243319
304	562.7475962
305	562.6740751
306	562.5257235
307	562.4181234
308	562.3332345
309	562.2583884
310	562.1576904
311	562.0757756
312	561.966155
313	561.8801261
314	561.7913531
315	561.7225736
316	561.6494595
317	561.5645093
318	561.4820643
319	561.426995
320	561.3188042
321	561.2908199
322	561.2528656
323	561.1823904
324	561.1614536
325	561.1483635
326	561.052837
327	560.9873997
328	560.9222196
329	560.8558366
330	560.767349
331	560.6969383
332	560.6750934
333	560.5872897
334	560.5445776
335	560.4988264
336	560.4291283
337	560.3323684
338	560.2846322
339	560.259781
340	560.1555711
341	560.0889539
342	559.9817691
343	559.9721906
344	559.8932212
345	559.8481894
346	559.777727
347	559.7126
348	559.6613241
349	559.5719378
350	559.4478578
351	559.4042279
352	559.3186239
353	559.3002828
354	559.1801585
355	559.1092613
356	559.0606045
357	558.9993199
358	558.9774865
359	558.9130121
360	558.8437375
361	558.8162384
362	558.7608306
363	558.6679717
364	558.6071703
365	558.547962
366	558.4634707
367	558.3630269
368	558.296663
369	558.2488011
370	558.1668296
371	558.1004369
372	558.0806986
373	558.0658041
374	558.0483336
375	557.9920363
376	557.9564744
377	557.8479713
378	557.7813687
379	557.7073155
380	557.6418898
381	557.5432252
382	557.4921248
383	557.465267
384	557.4042795
385	557.3147821
386	557.2805004
387	557.2684633
388	557.1963619
389	557.1667126
390	557.1187751
391	557.107383
392	557.0194011
393	556.9870239
394	556.9101664
395	556.8996129
396	556.8898733
397	556.7663427
398	556.6984712
399	556.6412103
400	556.6323583
401	556.566084
402	556.5487016
403	556.5207799
404	556.5046044
405	556.4666253
406	556.3821667
407	556.3079254
408	556.2104739
409	556.195068
410	556.1266967
411	556.0399769
412	555.9859042
413	555.9124158
414	555.8818127
415	555.8120924
416	555.7780927
417	555.734255
418	555.613224
419	555.5662861
420	555.5128248
421	555.4501601
422	555.4030334
423	555.3387219
424	555.2635345
425	555.2036166
426	555.1109968
427	555.0576131
428	554.9613054
429	554.9040133
430	554.8573597
431	554.804772
432	554.723226
433	554.6548539
434	554.5972338
435	554.5479902
436	554.5096346
437	554.4504858
438	554.3885233
439	554.3471595
440	554.2643427
441	554.1527346
442	554.1415015
443	554.0905759
444	553.9752461
445	553.9218495
446	553.8680584
447	553.8359337
448	553.7834548
449	553.7218443
450	553.6899758
451	553.6543828
452	553.5884634
453	553.512239
454	553.453638
455	553.4009837
456	553.3490558
457	553.3019312
458	553.2309503
459	553.1724645
460	553.1350627
461	553.0928547
462	553.0062735
463	552.9525549
464	552.8766073
465	552.8005158
466	552.6904548
467	552.6575875
468	552.5704784
469	552.5142983
470	552.4434646
471	552.3967225
472	552.3399027
473	552.2941579
474	552.2857127
475	552.2229105
476	552.1881614
477	552.1546207
478	552.11733
479	552.0602561
480	552.0046824
481	551.9409677
482	551.8880459
483	551.8410054
484	551.8126319
485	551.7419262
486	551.6856162
487	551.62736
488	551.5255731
489	551.5191792
490	551.4382972
491	551.4026456
492	551.3701098
493	551.3124
494	551.2199484
495	551.1970117
496	551.1698238
497	551.1011289
498	551.0521598
499	550.9949717
500	550.9621629
501	550.9541283
502	550.8982702
503	550.8606596
504	550.7964021
505	550.6951908
506	550.6510169
507	550.5899958
508	550.5167472
509	550.4308877
510	550.4060387
511	550.307695
512	550.2701535
513	550.1955762
514	550.1561108
515	550.1222109
516	550.0757825
