iter	Passed	Remaining
0	172	172337
1	195	97510
2	220	73332
3	254	63356
4	283	56395
5	308	51057
6	333	47354
7	352	43724
8	370	40839
9	389	38559
10	408	36728
11	427	35221
12	446	33874
13	463	32671
14	481	31628
15	499	30715
16	517	29905
17	534	29171
18	553	28584
19	572	28038
20	591	27578
21	610	27134
22	628	26690
23	647	26343
24	667	26031
25	686	25701
26	704	25374
27	722	25091
28	742	24849
29	759	24564
30	777	24295
31	795	24055
32	814	23872
33	833	23668
34	850	23450
35	870	23316
36	888	23114
37	906	22938
38	925	22808
39	943	22639
40	960	22468
41	978	22310
42	995	22161
43	1012	22001
44	1029	21837
45	1045	21688
46	1062	21535
47	1079	21402
48	1097	21295
49	1115	21185
50	1133	21100
51	1154	21056
52	1173	20971
53	1192	20891
54	1210	20794
55	1228	20713
56	1247	20630
57	1263	20527
58	1281	20433
59	1298	20341
60	1314	20228
61	1330	20132
62	1348	20061
63	1366	19980
64	1383	19902
65	1400	19815
66	1416	19731
67	1432	19635
68	1449	19559
69	1467	19493
70	1484	19421
71	1500	19345
72	1516	19259
73	1533	19185
74	1551	19137
75	1568	19069
76	1587	19032
77	1612	19066
78	1634	19052
79	1651	18987
80	1667	18917
81	1683	18849
82	1701	18793
83	1716	18718
84	1733	18658
85	1750	18601
86	1768	18561
87	1791	18563
88	1814	18568
89	1843	18643
90	1868	18661
91	1890	18662
92	1912	18650
93	1932	18630
94	1953	18608
95	1971	18560
96	1988	18515
97	2008	18481
98	2026	18439
99	2045	18407
100	2063	18369
101	2081	18326
102	2097	18267
103	2115	18222
104	2131	18171
105	2148	18116
106	2164	18063
107	2181	18015
108	2196	17957
109	2214	17913
110	2230	17863
111	2247	17816
112	2263	17766
113	2280	17725
114	2297	17677
115	2313	17628
116	2330	17587
117	2348	17552
118	2364	17508
119	2382	17475
120	2398	17426
121	2416	17389
122	2432	17341
123	2448	17300
124	2465	17259
125	2482	17221
126	2499	17182
127	2516	17146
128	2533	17107
129	2551	17074
130	2567	17029
131	2582	16983
132	2597	16935
133	2615	16904
134	2633	16874
135	2651	16842
136	2668	16811
137	2686	16780
138	2705	16757
139	2725	16741
140	2744	16719
141	2762	16691
142	2782	16674
143	2801	16654
144	2821	16639
145	2841	16620
146	2861	16601
147	2882	16593
148	2902	16578
149	2919	16544
150	2940	16533
151	2959	16511
152	2977	16483
153	2996	16460
154	3013	16427
155	3029	16388
156	3047	16363
157	3064	16331
158	3084	16315
159	3102	16287
160	3119	16254
161	3137	16229
162	3156	16210
163	3174	16183
164	3192	16156
165	3209	16127
166	3227	16098
167	3244	16070
168	3260	16032
169	3276	15997
170	3293	15967
171	3310	15934
172	3326	15902
173	3349	15898
174	3367	15873
