iter	Passed	Remaining
0	157	157748
1	170	85029
2	182	60715
3	194	48438
4	206	41037
5	217	36105
6	229	32574
7	242	30017
8	253	27935
9	264	26177
10	275	24757
11	286	23566
12	296	22501
13	307	21679
14	319	20987
15	331	20403
16	344	19917
17	356	19453
18	369	19061
19	381	18709
20	393	18359
21	406	18064
22	419	17836
23	432	17578
24	443	17290
25	455	17080
26	469	16913
27	482	16740
28	493	16535
29	505	16353
30	517	16180
31	529	16004
32	540	15845
33	552	15703
34	564	15570
35	576	15432
36	587	15283
37	598	15160
38	610	15048
39	622	14946
40	635	14856
41	648	14796
42	661	14716
43	673	14643
44	686	14577
45	703	14596
46	720	14617
47	734	14564
48	748	14518
49	761	14459
50	772	14365
51	784	14296
52	795	14213
53	806	14120
54	817	14040
55	828	13958
56	840	13901
57	852	13839
58	864	13792
59	877	13744
60	887	13664
61	899	13604
62	912	13567
63	925	13530
64	936	13477
65	948	13421
66	961	13389
67	973	13341
68	984	13285
69	996	13236
70	1008	13191
71	1020	13148
72	1031	13102
73	1043	13058
74	1055	13020
75	1067	12975
76	1079	12935
77	1090	12895
78	1102	12855
79	1114	12811
80	1125	12768
81	1138	12742
82	1150	12714
83	1162	12680
84	1176	12660
85	1189	12645
86	1203	12635
87	1220	12644
88	1234	12635
89	1250	12644
90	1263	12621
91	1280	12641
92	1297	12651
93	1312	12652
94	1324	12621
95	1337	12593
96	1348	12552
97	1359	12514
98	1371	12484
99	1383	12448
100	1394	12415
101	1405	12377
102	1420	12373
103	1434	12359
104	1446	12327
105	1459	12311
106	1471	12277
107	1481	12240
108	1492	12203
109	1504	12174
110	1516	12147
111	1528	12117
112	1540	12090
113	1551	12058
114	1561	12019
115	1573	11992
116	1585	11962
117	1597	11937
118	1608	11908
119	1619	11877
120	1631	11848
121	1643	11826
122	1655	11801
123	1665	11768
124	1677	11742
125	1687	11707
126	1700	11689
127	1713	11673
128	1727	11661
129	1739	11641
130	1753	11629
131	1766	11616
132	1780	11605
133	1793	11588
134	1804	11564
135	1816	11537
136	1828	11515
137	1840	11495
138	1852	11476
139	1864	11453
140	1875	11427
141	1886	11401
142	1898	11375
143	1909	11352
144	1920	11326
145	1932	11303
146	1943	11279
147	1955	11258
148	1966	11231
149	1977	11206
150	1989	11184
151	2001	11166
152	2013	11145
153	2025	11127
154	2037	11105
155	2048	11083
156	2059	11059
157	2071	11041
158	2083	11022
159	2095	11003
160	2107	10982
161	2119	10961
162	2131	10946
163	2143	10925
164	2155	10906
165	2167	10889
166	2179	10872
167	2192	10858
168	2204	10840
169	2217	10825
170	2229	10810
171	2243	10802
172	2257	10789
173	2269	10771
174	2280	10748
175	2292	10734
176	2305	10721
177	2318	10708
178	2330	10690
179	2344	10678
180	2357	10667
181	2370	10655
182	2382	10635
183	2393	10615
184	2404	10594
185	2418	10583
186	2430	10564
187	2444	10556
188	2456	10542
189	2471	10537
190	2484	10525
191	2501	10528
192	2516	10520
193	2529	10507
194	2541	10490
195	2554	10480
196	2568	10468
197	2582	10460
198	2594	10444
199	2607	10429
200	2619	10413
201	2631	10394
202	2644	10380
203	2657	10370
204	2669	10352
205	2683	10343
206	2696	10331
207	2709	10318
208	2723	10307
209	2736	10295
210	2751	10287
211	2762	10268
212	2775	10254
213	2786	10234
214	2799	10219
215	2811	10205
216	2825	10193
217	2836	10175
218	2848	10159
219	2861	10145
220	2874	10130
221	2885	10110
222	2896	10093
223	2907	10073
224	2918	10051
225	2930	10035
226	2943	10023
227	2957	10012
228	2968	9995
229	2982	9983
230	2994	9969
231	3007	9957
232	3020	9941
233	3033	9928
234	3045	9915
235	3058	9900
236	3070	9886
237	3083	9871
238	3097	9862
239	3111	9852
240	3122	9834
241	3136	9825
242	3149	9811
243	3159	9790
244	3170	9771
245	3183	9756
246	3195	9741
247	3206	9724
248	3218	9707
249	3230	9691
250	3240	9670
251	3252	9653
252	3263	9636
253	3274	9617
254	3286	9600
255	3297	9582
256	3308	9566
257	3321	9553
258	3334	9540
259	3346	9526
260	3357	9507
261	3371	9495
262	3383	9481
263	3395	9466
264	3406	9448
265	3418	9432
266	3430	9418
267	3444	9406
268	3457	9395
269	3470	9384
270	3485	9375
271	3499	9366
272	3513	9357
273	3529	9350
274	3543	9340
275	3556	9329
276	3570	9318
277	3585	9310
278	3597	9297
279	3610	9284
280	3623	9270
281	3635	9257
282	3650	9248
283	3663	9235
284	3677	9224
285	3689	9212
286	3701	9196
287	3714	9183
288	3728	9171
289	3740	9158
290	3753	9145
291	3766	9132
292	3780	9121
293	3794	9111
294	3806	9095
295	3817	9079
296	3829	9065
297	3842	9051
298	3854	9037
299	3865	9018
300	3877	9005
301	3891	8994
302	3904	8980
303	3914	8961
304	3926	8948
305	3938	8933
306	3950	8917
307	3962	8901
308	3975	8889
309	3988	8877
310	4000	8862
311	4012	8847
312	4024	8832
313	4037	8820
314	4049	8805
315	4060	8789
316	4074	8778
317	4088	8767
318	4101	8755
319	4114	8743
320	4127	8730
321	4141	8719
322	4154	8707
323	4167	8694
324	4180	8682
325	4191	8666
326	4205	8654
327	4222	8651
328	4240	8649
329	4261	8652
330	4275	8640
331	4288	8628
332	4300	8613
333	4314	8603
334	4328	8592
335	4340	8578
336	4354	8566
337	4365	8551
338	4378	8538
339	4391	8523
340	4402	8507
341	4417	8498
342	4430	8486
343	4443	8474
344	4455	8458
345	4467	8444
346	4480	8430
347	4491	8415
348	4504	8402
349	4516	8387
350	4528	8373
351	4540	8357
352	4551	8342
353	4564	8329
354	4576	8315
355	4587	8298
356	4599	8284
357	4611	8269
358	4623	8255
359	4634	8238
360	4646	8224
361	4658	8210
362	4671	8196
363	4682	8181
364	4695	8169
365	4709	8157
366	4721	8143
367	4733	8129
368	4747	8118
369	4761	8106
370	4774	8094
371	4785	8079
372	4797	8064
373	4809	8050
374	4821	8035
375	4831	8018
376	4844	8005
377	4856	7991
378	4869	7979
379	4881	7963
380	4893	7949
381	4905	7936
382	4917	7922
383	4929	7908
384	4942	7895
385	4955	7882
386	4967	7868
387	4982	7858
388	4997	7848
389	5023	7857
390	5044	7856
391	5058	7845
392	5070	7832
393	5087	7825
394	5100	7812
395	5112	7797
396	5124	7783
397	5137	7770
398	5149	7756
399	5161	7742
400	5172	7727
401	5184	7712
402	5196	7697
403	5207	7682
404	5220	7669
405	5233	7656
406	5245	7642
407	5256	7627
408	5269	7614
409	5281	7600
410	5294	7587
411	5306	7572
412	5318	7559
413	5332	7548
414	5345	7534
415	5357	7521
416	5369	7507
417	5382	7494
418	5394	7480
419	5407	7466
420	5418	7452
421	5430	7438
422	5441	7422
423	5453	7409
424	5467	7397
425	5480	7384
426	5492	7370
427	5504	7356
428	5517	7343
429	5529	7329
430	5541	7316
431	5553	7302
432	5566	7289
433	5579	7276
434	5592	7264
435	5602	7247
436	5612	7230
437	5622	7213
438	5632	7197
439	5643	7182
440	5655	7168
441	5668	7156
442	5681	7143
443	5697	7134
444	5709	7121
445	5723	7109
446	5736	7096
447	5749	7084
448	5762	7071
449	5774	7058
450	5789	7047
451	5801	7033
452	5813	7020
453	5827	7007
454	5839	6994
455	5853	6982
456	5864	6967
457	5878	6956
458	5890	6943
459	5904	6931
460	5915	6916
461	5925	6900
462	5938	6887
463	5951	6874
464	5963	6861
465	5976	6848
466	5988	6834
467	5999	6820
468	6010	6804
469	6022	6791
470	6033	6776
471	6046	6763
472	6056	6747
473	6067	6733
474	6079	6719
475	6091	6705
476	6101	6690
477	6112	6674
478	6122	6659
479	6130	6641
480	6140	6626
481	6152	6612
482	6163	6597
483	6174	6582
484	6186	6569
485	6197	6554
486	6208	6539
487	6218	6524
488	6228	6508
489	6239	6493
490	6249	6478
491	6260	6464
492	6271	6449
493	6282	6434
494	6293	6420
495	6303	6404
496	6313	6390
497	6323	6373
498	6333	6358
499	6344	6344
500	6353	6328
501	6364	6313
502	6374	6298
503	6386	6284
504	6397	6270
505	6407	6255
506	6417	6240
507	6428	6226
508	6439	6211
509	6449	6197
510	6461	6183
511	6472	6168
512	6482	6154
513	6493	6140
514	6505	6126
515	6515	6111
516	6527	6098
517	6540	6085
518	6549	6070
519	6561	6057
520	6572	6042
521	6582	6027
522	6593	6013
523	6604	5999
524	6614	5984
525	6625	5970
526	6636	5956
527	6647	5942
528	6659	5929
529	6670	5915
530	6680	5900
531	6691	5886
532	6702	5872
533	6712	5858
534	6724	5844
535	6734	5830
536	6745	5816
537	6756	5802
538	6767	5788
539	6777	5773
540	6788	5759
541	6798	5745
542	6809	5730
543	6820	5716
544	6830	5702
545	6840	5688
546	6851	5674
547	6862	5660
548	6873	5646
549	6884	5632
550	6894	5618
551	6906	5605
552	6918	5592
553	6930	5579
554	6940	5565
555	6951	5551
556	6964	5539
557	6975	5525
558	6986	5511
559	6997	5497
560	7010	5485
561	7021	5472
562	7034	5459
563	7046	5447
564	7059	5434
565	7072	5422
566	7084	5410
567	7096	5397
568	7110	5386
569	7123	5373
570	7137	5362
571	7149	5349
572	7163	5338
573	7174	5324
574	7185	5311
575	7197	5298
576	7209	5285
577	7220	5271
578	7233	5259
579	7245	5246
580	7257	5233
581	7268	5220
582	7283	5209
583	7296	5197
584	7308	5184
585	7319	5171
586	7332	5159
587	7345	5146
588	7357	5133
589	7369	5121
590	7381	5108
591	7393	5095
592	7407	5084
593	7418	5070
594	7430	5057
595	7442	5045
596	7454	5032
597	7466	5019
598	7480	5007
599	7493	4995
600	7507	4984
601	7520	4971
602	7531	4958
603	7543	4945
604	7555	4933
605	7565	4919
606	7578	4906
607	7593	4895
608	7605	4882
609	7616	4869
610	7629	4857
